epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,82.1718,0.42454,0.5305,0.53172,1.01424,0.98555,1,0.995,0.86311,0.98555,1,0.995,0.995,0.65943,0.35989,0.75011,1.48138,0.0007724,0.0007724,0.0007724
33,84.4704,0.45116,0.57481,0.52458,1.01353,0.98333,1,0.995,0.79716,0.98333,1,0.995,0.995,0.80324,0.35963,0.74452,1.8066,0.0007328,0.0007328,0.0007328
34,86.7702,0.40839,0.54267,0.50034,1.00417,0.98303,1,0.995,0.86312,0.98303,1,0.995,0.995,0.61525,0.36121,0.70123,1.24008,0.0006932,0.0006932,0.0006932
35,89.0722,0.38858,0.49741,0.46851,0.97239,0.98319,1,0.995,0.995,0.98319,1,0.995,0.995,0.33947,0.36853,0.61065,0.98271,0.0006536,0.0006536,0.0006536
36,91.3541,0.38198,0.50743,0.48142,0.97242,0.98451,1,0.995,0.995,0.98451,1,0.995,0.995,0.2845,0.44141,0.52011,0.91188,0.000614,0.000614,0.000614
37,93.6516,0.34829,0.43586,0.43391,0.97009,0.98468,1,0.995,0.995,0.98468,1,0.995,0.995,0.27725,0.45913,0.55105,0.89489,0.0005744,0.0005744,0.0005744
38,95.988,0.37028,0.48995,0.41683,0.97371,0.98363,1,0.995,0.995,0.98363,1,0.995,0.995,0.31387,0.4653,0.54658,0.93038,0.0005348,0.0005348,0.0005348
39,98.3738,0.44097,0.56752,0.48547,1.00666,0.98334,1,0.995,0.96204,0.98334,1,0.995,0.96204,0.32865,0.4507,0.5614,0.92663,0.0004952,0.0004952,0.0004952
40,100.862,0.40649,0.52641,0.47015,1.00451,0.98663,1,0.995,0.995,0.98663,1,0.995,0.995,0.23983,0.38346,0.41955,0.86301,0.0004556,0.0004556,0.0004556
41,104.678,0.47689,1.05439,1.527,1.08628,0.98652,1,0.995,0.995,0.98652,1,0.995,0.995,0.31379,0.36963,0.52991,0.99815,0.000416,0.000416,0.000416
42,107.113,0.44856,0.50207,1.25098,1.05858,0.99941,1,0.995,0.8955,0.99941,1,0.995,0.995,0.64235,0.37295,1.20534,1.42473,0.0003764,0.0003764,0.0003764
43,109.398,0.45911,0.55116,1.03526,1.10683,0.98453,1,0.995,0.8955,0.98453,1,0.995,0.995,0.65037,0.38299,1.19774,1.44022,0.0003368,0.0003368,0.0003368
44,111.618,0.41654,0.43516,0.97304,1.09853,0.98341,1,0.995,0.93987,0.98341,1,0.995,0.995,0.38585,0.38593,0.77432,1.08038,0.0002972,0.0002972,0.0002972
45,113.813,0.31019,0.31831,0.83277,1.0134,0.97876,1,0.995,0.995,0.97876,1,0.995,0.995,0.34504,0.37972,0.7003,0.97296,0.0002576,0.0002576,0.0002576
46,116.103,0.34632,0.3711,0.79883,0.98952,0.97837,1,0.995,0.995,0.97837,1,0.995,0.995,0.2378,0.37092,0.54864,0.86556,0.000218,0.000218,0.000218
47,118.302,0.30399,0.3804,0.81324,0.97244,0.98068,1,0.995,0.995,0.98068,1,0.995,0.995,0.21906,0.36568,0.49295,0.8521,0.0001784,0.0001784,0.0001784
48,120.537,0.30564,0.29328,0.75891,1.00293,0.98452,1,0.995,0.995,0.98452,1,0.995,0.995,0.24437,0.36114,0.46054,0.88688,0.0001388,0.0001388,0.0001388
49,122.783,0.31993,0.49894,0.82822,0.92144,0.98575,1,0.995,0.995,0.98575,1,0.995,0.995,0.24638,0.36161,0.4657,0.89601,9.92e-05,9.92e-05,9.92e-05
50,125.042,0.3713,0.52854,0.84872,0.9593,0.98669,1,0.995,0.995,0.98669,1,0.995,0.995,0.22896,0.36297,0.46174,0.87173,5.96e-05,5.96e-05,5.96e-05
